sclaim_number,sjob_no,dtpaid,cpaid_parts,cpaid_labor,cpaid_sublet,cpaid_other,cpaid_deductible,cclaim_taxes,claim_total,spayee_state,dtclaim_paid_date,Cause_of_Loss,Loss_Code,Claim_State,Coverage_Type,Date_Claim_is_Reported,Date_of_Loss,Make,Mileage_At_Claim,Model,Model_Year,Repair_Description
C000014679      ,A01 ,5/11/2021 0:00,1897.7,885,0,0,-100,0,"$2,682.70 ",OR,5/11/2021 0:00,"intermediate shaft and steering gear has play.
overhead console led has internal issue.  power ground good
steering wheel leather is coming off",ST003F  ,OR,ST003F  ,3/24/2021,3/22/2021,RAM,40124,2500 LARAMIE,2018,Steering Gear / Rack & Pinion Assembly                      
C000015724      ,A01 ,6/24/2021 0:00,257,99,0,0,0,0,$356.00 ,OR,6/24/2021 0:00,"overhead console led has internal issue.  power ground good
SA Krista called back that the customer still has slight play after the repair and that the upper int shaft has play",ELEX    ,OR,ELEX    ,5/21/2021,5/21/2021,RAM,42592,2500 LARAMIE,2018,X-Misc Non-Excluded Electrical Components                   
C000015724      ,A02 ,6/24/2021 0:00,569,176,0,0,0,0,$745.00 ,OR,6/24/2021 0:00,"overhead console led has internal issue.  power ground good
SA Krista called back that the customer still has slight play after the repair and that the upper int shaft has play",ST012M  ,OR,ST012M  ,5/21/2021,5/21/2021,RAM,42592,2500 LARAMIE,2018,Steering Column Shaft(s)                                    
C000016800      ,A01 ,7/26/2021 0:00,272.85,268.8,0,0,-50,29.79,$521.44 ,WI,7/26/2021 0:00,Tech verified light is on for code c0020 abs pump motors control did a pin point test needs to replace abs controller.,BR009   ,OR,BR009   ,7/19/2021,7/19/2021,RAM,42148,3500 SLT,2018,ABS Electronic Control Processor                            
C000015832      ,A01 ,5/28/2021 0:00,35.59,507.5,0,0,-100,0,$443.09 ,OR,5/28/2021 0:00,"found no power to the purge solenoid. power is coming out of the PCM but not getting to the solenoid. Bench tested the solenoid, verified good.
the wire to the purge solenoid is damaged in the harness. RF will run a new wire from the PCM to the purge solenoid bypassing the break.",ELEX01  ,OR,ELEX01  ,5/26/2021,5/26/2021,CHRYSLER,24719,200 LIMITED,2016,Wiring Harness-Other (Exluding Engine and Transmission)     
C000015513      ,A01 ,5/17/2021 0:00,30.95,175.94,0,0,-50,0,$156.89 ,OR,5/17/2021 0:00,right front wheel speed sensor.,ELEX    ,OR,ELEX    ,5/10/2021,5/10/2021,CHRYSLER,45335,300C,2011,X-Misc Non-Excluded Electrical Components                   
I000016207      ,A01 ,6/17/2021 0:00,420.13,279,0,0,-150,0,$549.13 ,OR,6/17/2021 0:00,REAR SUSPENSION COMPRESSOR IS FAULTING,SU018   ,OR,SU018   ,6/15/2021,6/15/2021,CHEVROLET,59530,TAHOE K1500 LTZ,2015,Electronic Level Control Compressor                         
C000018118      ,A01 ,9/29/2021 0:00,314,228.72,0,0,0,0,$542.72 ,OR,9/29/2021 0:00,verified power and ground are good led bulbs,ELEX    ,OR,ELEX    ,9/28/2021,9/28/2021,RAM,74598,2500 LARAMIE,2018,X-Misc Non-Excluded Electrical Components                   
C000016095      ,A01 ,7/26/2021 0:00,486.7,703.76,0,0,-200,0,$990.46 ,OR,7/26/2021 0:00,both right and left side exhaust man making noise.  warped and blown out gaskets,EN009   ,OR,EN009   ,6/10/2021,6/10/2021,RAM,73143,1500 SPORT,2016,Exhaust Manifold(s)                                         
C000021484      ,A01 ,3/21/2022 0:00,498.4,385,0,0,-200,0,$683.40 ,OR,3/21/2022 0:00,verified and codes c002001 the abs pump motor general failure. Good power and ground internal malfunction,BR011   ,OR,BR011   ,3/3/2022,3/2/2022,RAM,35344,2500 LARAMIE,2018,ABS Hydraulic Pump/Motor Assembly                           
C000018587      ,A02 ,10/28/2021 0:00,0,0,0,95,0,0,$95.00 ,TX,10/28/2021 0:00,rear pinion seal is leaking.  oil pan and bed plate are leaking.,ENSG04  ,OR,ENSG04  ,10/21/2021,10/18/2021,FORD,107885,F250 SUPER DUTY,2008,S&G - Oil Pan Gasket                                        
C000018587      ,A01 ,11/22/2021 0:00,15,364.5,0,0,-100,0,$279.50 ,OR,11/22/2021 0:00,rear pinion seal is leaking.  oil pan and bed plate are leaking.,DASG4B  ,OR,DASG4B  ,10/21/2021,10/18/2021,FORD,107885,F250 SUPER DUTY,2008,S&G- Pinion Seal(s)                                         
C000018587      ,A02 ,11/22/2021 0:00,562.33,2727,0,0,0,0,"$3,289.33 ",OR,11/22/2021 0:00,rear pinion seal is leaking.  oil pan and bed plate are leaking.,ENSG04  ,OR,ENSG04  ,10/21/2021,10/18/2021,FORD,107885,F250 SUPER DUTY,2008,S&G - Oil Pan Gasket                                        
C000017304      ,A01 ,9/1/2021 0:00,0,0,0,118,0,0,$118.00 ,TX,9/1/2021 0:00,,ZBRAW100,OR,ZBRAW100,8/12/2021,7/25/2021,DODGE,15,CHALLENGER SXT,2019,RA-Tow Service($100 Max)                                    
C000017862      ,A01 ,9/22/2021 0:00,259.75,345,0,0,-200,0,$404.75 ,OR,9/22/2021 0:00,"racked and inspected vehicle, found exhaust leak from upper manifold, rear upper manifold bolt broken, exhaust manifold warped .060 inches",EN009   ,OR,EN009   ,9/13/2021,9/13/2021,RAM,60738,1500 CLASSIC TRADESMAN,2019,Exhaust Manifold(s)                                         
C000021099      ,A01 ,2/18/2022 0:00,243,346.5,0,0,-200,0,$389.50 ,OR,2/18/2022 0:00,test drove verified noise. put on hoist checked the front wheel bearings. found left front wheel bearing is very loose.,SU017A  ,OR,SU017A  ,2/15/2022,2/15/2022,RAM,68539,1500 CLASSIC TRADESMAN,2019,Wheel Bearing(s)                                            
C000022419      ,A01 ,4/12/2022 0:00,251.2,332.5,0,0,-200,0,$383.70 ,OR,4/12/2022 0:00,"p1b73, p0128 (engine coolant thermostat is stuck open)
found thermostat is stuck open",COEX01  ,OR,COEX01  ,4/6/2022,4/6/2022,RAM,51943,2500 LARAMIE,2019,Thermostat                                                  
C000016804      ,A01 ,8/23/2021 0:00,354.42,290,0,0,-200,0,$444.42 ,OR,8/23/2021 0:00,"rt front window motor internal failure
upper and lower radiator hoses are worn",EL023M  ,OR,EL023M  ,7/19/2021,7/19/2021,HYUNDAI,69734,SONATA GLS,2008,Power Window Motor(s)                                       
C000019059      ,A01 ,11/29/2021 0:00,0,0,0,37.75,0,0,$37.75 ,TX,11/29/2021 0:00,,ZBRAB100,OR,ZBRAB100,11/11/2021,9/28/2021,HYUNDAI,69740,SONATA GLS,2008,RA-Jump Start($100 Maximum)                                 
C000017354      ,A01 ,8/30/2021 0:00,150,397.72,0,0,-100,12.38,$460.10 ,CA,8/30/2021 0:00,"the starter has failed
upper control arms upper ball joints are broken",EL003   ,OR,EL003   ,8/16/2021,8/14/2021,RAM,111367,1500 LARAMIE,2014,Starter Motor                                               
C000017354      ,A02 ,8/30/2021 0:00,454,703.47,0,0,0,37.46,"$1,194.93 ",CA,8/30/2021 0:00,"the starter has failed
upper control arms upper ball joints are broken",SU001FA ,OR,SU001FA ,8/16/2021,8/14/2021,RAM,111367,1500 LARAMIE,2014,Control Arm(s)                                              
C000019374      ,A01 ,12/21/2021 0:00,0,0,0,95,0,0,$95.00 ,TX,12/21/2021 0:00,"transmission failed
RF dropped pan and found metal. fluid was dark
12/13 R/F called in stating that they cannot get a part from Chrysler and that they are going to send in their labor estimate with pictures of contamination in the oil pan.",TR001F  ,OR,TR001F  ,11/29/2021,11/18/2021,DODGE,181392,RAM 2500,2007,Internal Lubricated Component                               
C000022347      ,A01 ,4/12/2022 0:00,0,0,0,95,0,0,$95.00 ,TX,4/12/2022 0:00,"engine oil cooler assembly is leaking oil externally, leaked onto a/c components and through cooling system",ENEX02  ,OR,ENEX02  ,4/4/2022,2/10/2022,JEEP,71996,GRAND CHEROKEE SUMMIT,2015,Engine Oil Cooler                                           
C000015514      ,A01 ,5/17/2021 0:00,0,0,0,95,0,0,$95.00 ,TX,5/17/2021 0:00,"leaking a/c evap. no external damage.  florescoped leaking inside dash.
water pump is leaking.  base, bearing is going bad.
pinion seal is leaking
right and left exhaust man leaking due to broken studs. EXCLUDED",AC004B  ,OR,AC004B  ,5/10/2021,5/6/2021,DODGE,90071,RAM 1500,2009,Evaporator Core(s)                                          
C000015514      ,A01 ,6/23/2021 0:00,482.75,1442.71,0,280,-150,0,"$2,055.46 ",OR,6/23/2021 0:00,"leaking a/c evap. no external damage.  florescoped leaking inside dash.
water pump is leaking.  base, bearing is going bad.
pinion seal is leaking
right and left exhaust man leaking due to broken studs. EXCLUDED",AC004B  ,OR,AC004B  ,5/10/2021,5/6/2021,DODGE,90071,RAM 1500,2009,Evaporator Core(s)                                          
C000015514      ,A02 ,6/23/2021 0:00,257.2,439.85,0,0,0,0,$697.05 ,OR,6/23/2021 0:00,"leaking a/c evap. no external damage.  florescoped leaking inside dash.
water pump is leaking.  base, bearing is going bad.
pinion seal is leaking
right and left exhaust man leaking due to broken studs. EXCLUDED",CO007   ,OR,CO007   ,5/10/2021,5/6/2021,DODGE,90071,RAM 1500,2009,Water Pump                                                  
C000015514      ,A03 ,6/23/2021 0:00,41.85,580.6,0,0,0,0,$622.45 ,OR,6/23/2021 0:00,"leaking a/c evap. no external damage.  florescoped leaking inside dash.
water pump is leaking.  base, bearing is going bad.
pinion seal is leaking
right and left exhaust man leaking due to broken studs. EXCLUDED",DASG4B  ,OR,DASG4B  ,5/10/2021,5/6/2021,DODGE,90071,RAM 1500,2009,S&G- Pinion Seal(s)                                         
C000017798      ,A01 ,9/30/2021 0:00,520,356.5,0,0,-100,45.24,$821.74 ,AZ,9/30/2021 0:00,pass side headlight assy failed.  LED,ELEX    ,OR,ELEX    ,9/8/2021,9/8/2021,CHRYSLER,42249,300 S,2019,X-Misc Non-Excluded Electrical Components                   
C000022381      ,A01 ,4/11/2022 0:00,0,0,0,95,0,0,$95.00 ,TX,4/11/2022 0:00,"Tech verified cel is on for turbo actuator code p003a p00af- the connector of the turbo actuator usually has issue no external issues 
left washer nozzle is stuck tried blowing air through it and no changes nozzle wont release",FUTC1   ,OR,FUTC1   ,4/5/2022,4/5/2022,RAM,66165,3500 LARAMIE,2013,Turbocharger                                                
C000021994      ,A01 ,3/25/2022 0:00,101.2,553,0,0,-200,0,$454.20 ,WA,3/25/2022 0:00,Tech verified cel is on for code  p0128 tstat rationally no over heating history issues found on ecm found thermostat opens early coolant is full opens at 140f should be closer to 190,COEX01  ,OR,COEX01  ,3/21/2022,3/21/2022,JEEP,37418,RENEGADE LATITUDE,2019,Thermostat                                                  
C000021111      ,A01 ,2/25/2022 0:00,160.32,285.5,0,0,-100,0,$345.82 ,OR,2/25/2022 0:00,"1 front lower control arm brackets have excessive play
2 verified engine start stop button, intermittently failing",SU001FA ,OR,SU001FA ,2/15/2022,2/14/2022,VOLKSWAGEN,79208,GOLF,2012,Control Arm(s)                                              
C000021111      ,A02 ,2/25/2022 0:00,180,94.5,0,0,0,0,$274.50 ,OR,2/25/2022 0:00,"1 front lower control arm brackets have excessive play
2 verified engine start stop button, intermittently failing",EL010   ,OR,EL010   ,2/15/2022,2/14/2022,VOLKSWAGEN,79208,GOLF,2012,Ignition Switch                                             
C000020121      ,A01 ,1/14/2022 0:00,346,334.28,0,0,-50,0,$630.28 ,OR,1/14/2022 0:00,"verified, BCM has failed internally and is not sending a signal to the wipers
codes b2303-11 wiper park switch input circuit switch short to ground, no wiring damage
1/13 - replaced BCM and no power coming out of power dist center and wiper motor has internal failure.",ELEX    ,OR,ELEX    ,1/6/2022,1/5/2022,RAM,61199,2500 LARAMIE,2019,X-Misc Non-Excluded Electrical Components                   
C000020121      ,A02 ,1/14/2022 0:00,438,105.56,0,0,0,0,$543.56 ,OR,1/14/2022 0:00,"verified, BCM has failed internally and is not sending a signal to the wipers
codes b2303-11 wiper park switch input circuit switch short to ground, no wiring damage
1/13 - replaced BCM and no power coming out of power dist center and wiper motor has internal failure.",ELEX    ,OR,ELEX    ,1/6/2022,1/5/2022,RAM,61199,2500 LARAMIE,2019,X-Misc Non-Excluded Electrical Components                   
C000020121      ,A03 ,1/14/2022 0:00,275,158.35,0,0,0,0,$433.35 ,OR,1/14/2022 0:00,"verified, BCM has failed internally and is not sending a signal to the wipers
codes b2303-11 wiper park switch input circuit switch short to ground, no wiring damage
1/13 - replaced BCM and no power coming out of power dist center and wiper motor has internal failure.",EL011B  ,OR,EL011B  ,1/6/2022,1/5/2022,RAM,61199,2500 LARAMIE,2019,Window Wiper Motor(s)                                       
C000015939      ,A01 ,7/1/2021 0:00,629,338.1,0,0,-100,0,$867.10 ,OR,7/1/2021 0:00,front display interface module has an internal failure,ELEX17  ,OR,ELEX17  ,6/3/2021,6/2/2021,FORD,94988,F150 SUPERCREW,2013,Information Display Center                                  
C000015639      ,A01 ,5/28/2021 0:00,177.05,602,0,0,-100,0,$679.05 ,WA,5/28/2021 0:00,"Tech verified concern the magnetic clutch fell and needs to be replaced along with the retainer. no external size of abuse 
Inspection found timing cover leaking oil on the right hand side",AC002   ,OR,AC002   ,5/18/2021,5/18/2021,TOYOTA,141339,SIENNA SPORT,2012,Compressor Clutch/Pulley                                    
C000019835      ,A01 ,12/27/2021 0:00,0,0,0,0,-100,0,($100.00),WA,12/27/2021 0:00,"needs software updates and needs service
found 2 motor mounts
software update for radio
unable to duplicate concern of lock and unlock",EN011   ,OR,EN011   ,12/21/2021,12/18/2021,DODGE,65336,DURANGO GT,2018,Engine Mount(s)                                             
C000019835      ,A02 ,12/27/2021 0:00,167.3,673.96,0,0,0,0,$841.26 ,WA,12/27/2021 0:00,"needs software updates and needs service
found 2 motor mounts
software update for radio
unable to duplicate concern of lock and unlock",EN011   ,OR,EN011   ,12/21/2021,12/18/2021,DODGE,65336,DURANGO GT,2018,Engine Mount(s)                                             
C000015415      ,A01 ,5/17/2021 0:00,40.45,211.13,0,0,-150,0,$101.58 ,OR,5/17/2021 0:00,Tech verified concern had cylinder one misfire p0301 ignition coil failure did a power balance test and confirmed misfire cylinder,EL046   ,OR,EL046   ,5/4/2021,4/29/2021,DODGE,92586,GRAND CARAVAN R/T,2016,Ignition Coil(s)/Coil Pack                                  
C000018183      ,A01 ,10/20/2021 0:00,267,175.94,0,0,-150,0,$292.94 ,OR,10/20/2021 0:00,"starter is not engaging all the way
flex plate is cracked",EL003   ,OR,EL003   ,10/1/2021,9/29/2021,DODGE,101228,GRAND CARAVAN R/T,2016,Starter Motor                                               
C000018183      ,A02 ,10/20/2021 0:00,106.9,1319.55,0,0,0,0,"$1,426.45 ",OR,10/20/2021 0:00,"starter is not engaging all the way
flex plate is cracked",TRFP01  ,OR,TRFP01  ,10/1/2021,9/29/2021,DODGE,101228,GRAND CARAVAN R/T,2016,Flex Plate                                                  
C000015223      ,A01 ,5/28/2021 0:00,482.72,923,0,0,-200,0,"$1,205.72 ",OR,5/28/2021 0:00,Tech verified concern the ac condenser is leaking freon,AC003   ,OR,AC003   ,4/23/2021,4/23/2021,CHEVROLET,53245,SUBURBAN K1500 PREMIER,2018,Condensor                                                   
C000017609      ,A01 ,9/21/2021 0:00,74.25,432,0,0,-100,0,$406.25 ,OR,9/21/2021 0:00,found the a/c air intake actuator causing the knocking noise- no codes or anything else found,ACEX08B ,OR,ACEX08B ,8/27/2021,8/27/2021,KIA,99449,SPORTAGE,2016,Acutator(s)                                                 
C000017344      ,A01 ,8/30/2021 0:00,240.79,280,0,0,-100,0,$420.79 ,OR,8/30/2021 0:00,blower motor has failed.  pulling too many amps and popping 40 amp fuses,AC006BFR,OR,AC006BFR,8/16/2021,8/16/2021,DODGE,102603,DURANGO CITADEL,2015,Blower Motor(s)                                             
C000020043      ,A01 ,1/13/2022 0:00,87,297.5,0,0,-100,0,$284.50 ,OR,1/13/2022 0:00,codes p0128 thermostat ration.  tested and is sticking,COEX01  ,OR,COEX01  ,1/3/2022,1/3/2022,DODGE,109283,DURANGO CITADEL,2015,Thermostat                                                  
C000015914      ,A01 ,10/12/2021 0:00,395,250,0,0,-200,0,$445.00 ,WA,10/12/2021 0:00,Tech duplicated concern the radio assembly has good power and ground b1517b sat region mis match let it sleep reset and no changes dtc is still active.,ELEX40  ,OR,ELEX40  ,6/2/2021,6/1/2021,JEEP,46859,WRANGLER UNLIMITED SAHARA,2014,Radio / Nav / MMI                                           
C000016766      ,A01 ,7/22/2021 0:00,222.8,350,0,0,-200,0,$372.80 ,OR,7/22/2021 0:00,found the pcv grommets have failed,ENSG    ,OR,ENSG    ,7/15/2021,7/15/2021,RAM,81912,1500 ST,2016,S&G - Misc Engine Seals & Gaskets                           
C000016648      ,A01 ,7/20/2021 0:00,87.84,307.04,0,0,-200,0,$194.88 ,OR,7/20/2021 0:00,Tech verified cel is on for bad coil cylinder p0301 swapped coil and it followed wants to replace all plugs and coils,EL046   ,OR,EL046   ,7/9/2021,7/8/2021,BMW,64931,X1 XDRIVE28I,2014,Ignition Coil(s)/Coil Pack                                  
C000017340      ,A01 ,8/30/2021 0:00,155.62,859.7,0,0,-200,0,$815.32 ,OR,8/30/2021 0:00,"no problem found
tech noticed and active leak at the valve cover",ENSG    ,OR,ENSG    ,8/16/2021,8/6/2021,BMW,69819,X1 XDRIVE28I,2014,S&G - Misc Engine Seals & Gaskets                           
C000021211      ,A01 ,3/3/2022 0:00,492.45,532.19,0,160,-200,0,$984.64 ,OR,3/3/2022 0:00,visual inspection found radiator leaking at the seems,CO006   ,OR,CO006   ,2/18/2022,2/16/2022,BMW,77902,X1 XDRIVE28I,2014,Radiator                                                    
C000019043      ,A01 ,11/12/2021 0:00,117,228.72,0,0,-50,0,$295.72 ,OR,11/12/2021 0:00,"tested battery has 86 cold amps.  radio may be caused by this
pass front window motor is faulty
transfer case position sensor is faulty",EL023M  ,OR,EL023M  ,11/11/2021,11/9/2021,DODGE,63168,DURANGO R/T,2017,Power Window Motor(s)                                       
C000019043      ,A02 ,11/12/2021 0:00,128,263.91,0,0,0,0,$391.91 ,OR,11/12/2021 0:00,"tested battery has 86 cold amps.  radio may be caused by this
pass front window motor is faulty
transfer case position sensor is faulty",ELEX    ,OR,ELEX    ,11/11/2021,11/9/2021,DODGE,63168,DURANGO R/T,2017,X-Misc Non-Excluded Electrical Components                   
C000016387      ,A01 ,7/1/2021 0:00,0,0,0,95,0,0,$95.00 ,TX,7/1/2021 0:00,removed trans. and on top of trans case there is a crack in it along the seam.  not signs of outside influence.  does not off roading.,TR001F  ,OR,TR001F  ,6/25/2021,6/24/2021,RAM,86110,1500 SLT,2017,Internal Lubricated Component                               
C000016387      ,A01 ,7/15/2021 0:00,1830.5,917.4,0,320,-200,0,"$2,867.90 ",OR,7/15/2021 0:00,removed trans. and on top of trans case there is a crack in it along the seam.  not signs of outside influence.  does not off roading.,TR001F  ,OR,TR001F  ,6/25/2021,6/24/2021,RAM,86110,1500 SLT,2017,Internal Lubricated Component                               
C000017508      ,A01 ,9/24/2021 0:00,1281.7,1319.55,0,0,-150,0,"$2,451.25 ",OR,9/24/2021 0:00,"scanned for codes p1411 and p0301. the cylinder one has a misfire the vehicle gets stuck in limp mode.  the lifter is  stuck.
needs cust auth and maintenance. will get maintenance and call back...... next step would be cust auth to td to verify lifters and call back with diagnosis.
lifters have been removed from the engine, cams are visible.",EN001F  ,OR,EN001F  ,8/23/2021,8/18/2021,RAM,86420,1500 SLT,2017,Internal Lubricated Component(s)                            
C000018184      ,A01 ,11/23/2021 0:00,2496.7,598.19,0,-680,-150,0,"$2,264.89 ",OR,11/23/2021 0:00,found a loose output shaft on transferase. output shaft splines are worn as well as splines on yoke,TC001F  ,OR,TC001F  ,10/1/2021,9/28/2021,RAM,86514,1500 SLT,2017,Internal Lubricated Components                              
C000015882      ,A01 ,6/15/2021 0:00,214.53,278,0,0,-200,0,$292.53 ,OR,6/15/2021 0:00,verified and found l/r wheel bearing has internal failure,SU017A  ,OR,SU017A  ,6/1/2021,5/27/2021,HONDA,72578,ODYSSEY TOURING ELITE,2015,Wheel Bearing(s)                                            
C000019920      ,A01 ,1/13/2022 0:00,465,210,0,0,-200,0,$475.00 ,OR,1/13/2022 0:00,display radio assy has failed.  checked for updates all is current.  power ground good,ELEX40  ,OR,ELEX40  ,12/23/2021,12/21/2021,RAM,41781,2500 LARAMIE,2019,Radio / Nav / MMI                                           
C000015636      ,A01 ,6/1/2021 0:00,318.68,1044,0,70,-150,0,"$1,282.68 ",OR,6/1/2021 0:00,"condenser.  freon level empty. condenser leaking at top where pipe fitting comes in.
After repair int issue found a lighting is issue cs parking running lights don't work sometimes. license plate bulbs were out initially, on road test the right front park light was off fuse is good circuit inspection removed fuse block one of the terminals was backed out just a touch",AC003   ,OR,AC003   ,5/18/2021,5/18/2021,CHEVROLET,80250,SILVERADO K1500 LT,2014,Condensor                                                   
C000015636      ,A01 ,6/8/2021 17:38,-318.68,-1044,0,-70,150,0,"($1,282.68)",OR,6/1/2021 0:00,"condenser.  freon level empty. condenser leaking at top where pipe fitting comes in.
After repair int issue found a lighting is issue cs parking running lights don't work sometimes. license plate bulbs were out initially, on road test the right front park light was off fuse is good circuit inspection removed fuse block one of the terminals was backed out just a touch",AC003   ,OR,AC003   ,5/18/2021,5/18/2021,CHEVROLET,80250,SILVERADO K1500 LT,2014,Condensor                                                   
C000015636      ,A02 ,6/1/2021 0:00,0,290,0,0,0,0,$290.00 ,OR,6/1/2021 0:00,"condenser.  freon level empty. condenser leaking at top where pipe fitting comes in.
After repair int issue found a lighting is issue cs parking running lights don't work sometimes. license plate bulbs were out initially, on road test the right front park light was off fuse is good circuit inspection removed fuse block one of the terminals was backed out just a touch",ELEX01  ,OR,ELEX01  ,5/18/2021,5/18/2021,CHEVROLET,80250,SILVERADO K1500 LT,2014,Wiring Harness-Other (Exluding Engine and Transmission)     
C000015636      ,A02 ,6/8/2021 17:38,0,-290,0,0,0,0,($290.00),OR,6/1/2021 0:00,"condenser.  freon level empty. condenser leaking at top where pipe fitting comes in.
After repair int issue found a lighting is issue cs parking running lights don't work sometimes. license plate bulbs were out initially, on road test the right front park light was off fuse is good circuit inspection removed fuse block one of the terminals was backed out just a touch",ELEX01  ,OR,ELEX01  ,5/18/2021,5/18/2021,CHEVROLET,80250,SILVERADO K1500 LT,2014,Wiring Harness-Other (Exluding Engine and Transmission)     
C000015636      ,A01 ,6/11/2021 0:00,318.68,1044,0,70,-150,0,"$1,282.68 ",OR,6/11/2021 0:00,"condenser.  freon level empty. condenser leaking at top where pipe fitting comes in.
After repair int issue found a lighting is issue cs parking running lights don't work sometimes. license plate bulbs were out initially, on road test the right front park light was off fuse is good circuit inspection removed fuse block one of the terminals was backed out just a touch",AC003   ,OR,AC003   ,5/18/2021,5/18/2021,CHEVROLET,80250,SILVERADO K1500 LT,2014,Condensor                                                   
C000015636      ,A02 ,6/11/2021 0:00,0,290,0,0,0,0,$290.00 ,OR,6/11/2021 0:00,"condenser.  freon level empty. condenser leaking at top where pipe fitting comes in.
After repair int issue found a lighting is issue cs parking running lights don't work sometimes. license plate bulbs were out initially, on road test the right front park light was off fuse is good circuit inspection removed fuse block one of the terminals was backed out just a touch",ELEX01  ,OR,ELEX01  ,5/18/2021,5/18/2021,CHEVROLET,80250,SILVERADO K1500 LT,2014,Wiring Harness-Other (Exluding Engine and Transmission)     
C000019033      ,A01 ,12/21/2021 0:00,101.65,300,0,0,-150,0,$251.65 ,OR,12/21/2021 0:00,"Tech  p0430 diag 02 sensor all good. smoke test done. Tech recommends replacing the cat converter.
Tech verified cs complaint. Left front seater element has an open and will need to be replaced.
Tech verified left front sensor to have no response after attempt relearn
Found that both right tpms sensors are also inoperable after bringing vehicle back 12/13/2021",ELEX13M ,OR,ELEX13M ,11/11/2021,11/11/2021,CHEVROLET,88411,SILVERADO K1500 LT,2014,Heated Seat Element(s)                                      
C000019033      ,A02 ,12/21/2021 0:00,246.99,216,0,0,0,0,$462.99 ,OR,12/21/2021 0:00,"Tech  p0430 diag 02 sensor all good. smoke test done. Tech recommends replacing the cat converter.
Tech verified cs complaint. Left front seater element has an open and will need to be replaced.
Tech verified left front sensor to have no response after attempt relearn
Found that both right tpms sensors are also inoperable after bringing vehicle back 12/13/2021",ELEX25  ,OR,ELEX25  ,11/11/2021,11/11/2021,CHEVROLET,88411,SILVERADO K1500 LT,2014,Tire Pressure Sensor(s)                                     
C000016642      ,A01 ,11/9/2021 0:00,1522.55,439.4,0,0,-200,0,"$1,761.95 ",WA,11/9/2021 0:00,"found code c1562-92, c1562-98, c15ae, c15b9, c15a1
found the air suspension compressor is leaking
7/9 - going to order parts.  according to chrysler you have to order individual parts.  took new parts list",SU018   ,OR,SU018   ,7/9/2021,7/8/2021,RAM,58746,1500 LONGHORN,2018,Electronic Level Control Compressor                         
C000016834      ,A01 ,7/27/2021 0:00,454.9,682,0,0,-200,0,$936.90 ,OR,7/27/2021 0:00,Tech verified concern the 4 shock struts are leaking,SUEX01A ,OR,SUEX01A ,7/20/2021,7/20/2021,FORD,71006,EXPEDITION MAX LIMITED,2018,Strut(s)                                                    
C000016990      ,A01 ,8/2/2021 0:00,43.6,228.72,0,0,-150,0,$122.32 ,OR,8/2/2021 0:00,evap small leak found leak from the purge solenoid,FUEX02  ,OR,FUEX02  ,7/29/2021,7/28/2021,JEEP,82449,GRAND CHEROKEE LIMITED,2015,Emissions Components                                        
C000018115      ,A01 ,11/30/2021 0:00,730,193.53,0,0,-150,0,$773.53 ,OR,11/30/2021 0:00,"verified screen is not working, performed hard reset via power down, screen still inop, performed software update, and could not due to failure of head unit screen",ELEX40  ,OR,ELEX40  ,9/28/2021,9/28/2021,JEEP,85127,GRAND CHEROKEE LIMITED,2015,Radio / Nav / MMI                                           
C000018643      ,A01 ,11/4/2021 0:00,368,287.05,0,0,-100,39.31,$594.36 ,KY,11/4/2021 0:00,Tech verified concern the tierod ends are loose and the steering dampner has a leak,ST010FA ,OR,ST010FA ,10/25/2021,10/12/2021,JEEP,58963,WRANGLER UNLIMITED SPORT,2015,Tie Rod End(s)                                              
C000018832      ,A01 ,11/10/2021 0:00,57.15,152.6,0,0,-100,12.59,$122.34 ,KY,11/10/2021 0:00,right rear wheel speed sensor is failing,BR010A  ,OR,BR010A  ,11/2/2021,11/1/2021,JEEP,59098,WRANGLER UNLIMITED SPORT,2015,ABS Wheel Speed Sensor (s)                                  
C000019398      ,A01 ,12/13/2021 0:00,80.1,277.5,0,0,-200,0,$157.60 ,OR,12/13/2021 0:00,P3034 coil issue Cyl. 4 Verified connection and swapped coil to verify misfire.,EL046   ,OR,EL046   ,11/30/2021,11/29/2021,JEEP,92389,GRAND CHEROKEE OVERLAND,2016,Ignition Coil(s)/Coil Pack                                  
C000017465      ,A01 ,10/5/2021 0:00,754,762.95,0,0,-200,0,"$1,316.95 ",WA,10/5/2021 0:00,"front tension strut bushing are cracked on both sides.  lower control arms have excess play
tech found p0031 both o2 sensors shorted up and downstream, tested for power and ground all good there tech states they failed internally 9/14/21",SU001FA ,OR,SU001FA ,8/20/2021,8/14/2021,DODGE,66639,CHARGER R/T,2014,Control Arm(s)                                              
C000017465      ,A02 ,10/5/2021 0:00,236,425,0,0,0,0,$661.00 ,WA,10/5/2021 0:00,"front tension strut bushing are cracked on both sides.  lower control arms have excess play
tech found p0031 both o2 sensors shorted up and downstream, tested for power and ground all good there tech states they failed internally 9/14/21",EL045   ,OR,EL045   ,8/20/2021,8/14/2021,DODGE,66639,CHARGER R/T,2014,Oxygen Sensor(s)                                            
C000022557      ,A01 ,4/25/2022 0:00,521.25,638.91,0,0,-200,0,$960.16 ,WA,4/25/2022 0:00,"perform leakdown test, found seam on radiator had blown, found thermostat stuck",CO006   ,OR,CO006   ,4/12/2022,4/12/2022,DODGE,75418,CHARGER R/T,2014,Radiator                                                    
